,STN_NAM_DE,LAT,LONG
118,KIM CHUAN DEPOT,1.341821747,103.8890685
119,TUAS CRESCENT MRT STATION,1.321026956,103.6490782
120,TUAS LINK MRT STATION,1.340882425,103.6369914
121,TUAS WEST ROAD MRT STATION,1.329985047,103.6396166
122,LITTLE INDIA MRT STATION,1.307243816,103.8498416
123,BOTANIC GARDENS MRT STATION,1.322386995,103.8153855
124,PROMENADE MRT STATION,1.293997986,103.86035
125,CITY HALL MRT STATION,1.292989907,103.8525426
126,OUTRAM PARK MRT STATION,1.280241533,103.8400521
127,BISHAN MRT STATION,1.351018898,103.8500572
128,SENGKANG MRT DEPOT,1.391694626,103.8954847
129,EXPO MRT STATION,1.335382526,103.9623747
130,FERNVALE LRT STATION,1.391885892,103.8763086
131,CHANGI DEPOT,1.330441884,103.9564593
132,PUNGGOL MRT STATION,1.414927334,103.9101664
133,BUANGKOK MRT STATION,1.383694172,103.89305
134,BAKAU LRT STATION,1.387994311,103.9054153
135,FARMWAY LRT STATION,1.397170196,103.8893048
136,COMMONWEALTH MRT STATION,1.302501999,103.7982285
137,KUPANG LRT STATION,1.39821283,103.8812562
138,DAMAI LRT STATION,1.405234836,103.9086035
139,QUEENSTOWN MRT STATION,1.294550852,103.8060772
140,KALLANG MRT STATION,1.31148891,103.8713865
141,RUMBIA LRT STATION,1.391468495,103.9059736
142,PETIR LRT STATION,1.377772043,103.7666458
143,BISHAN MRT STATION,1.351018898,103.8500572
144,BOON LAY MRT STATION,1.338610339,103.7060849
145,KEAT HONG LRT STATION,1.378603251,103.7490557
146,JELAPANG LRT STATION,1.38673927,103.7645341
147,CHOA CHU KANG LRT STATION,1.384755411,103.7445377
148,SENGKANG LRT STATION,1.391609364,103.8954426
149,HARBOURFRONT MRT STATION,1.265311399,103.8205573
150,PENDING LRT STATION,1.376135743,103.7712612
151,CLARKE QUAY MRT STATION,1.287452114,103.8461192
153,BUKIT PANJANG LRT STATION,1.377926946,103.7631029
154,FAJAR LRT STATION,1.384573177,103.7708872
155,KOVAN MRT STATION,1.35990192,103.8844947
156,LORONG CHUAN MRT STATION,1.351531286,103.8648122
157,MARYMOUNT MRT STATION,1.348707263,103.8394231
158,HARBOURFRONT MRT STATION,1.265311399,103.8205573
159,BUONA VISTA MRT STATION,1.306275348,103.7903632
160,CALDECOTT MRT STATION,1.337347223,103.8395441
161,BUGIS MRT STATION,1.30026469,103.8556148
163,NEWTON MRT STATION,1.312570317,103.8380316
165,CHINATOWN MRT STATION,1.284223919,103.8451438
